dataset,method,seed,truth_quality,evaluation_valid,mean_lead_time,median_lead_time,std_lead_time,detection_coverage,missed_drift_rate,batch_far,event_far,alert_episodes,false_alert_episodes,drift_events,detected_events,eligible_batches,false_batch_alerts,lead_time_sum,evaluated_batches,total_adaptations,adaptations_per_100_batches,false_adaptations,true_event_related_adaptations,adaptation_precision,accuracy_recovery_batches,recovery_coverage
synth_sea_abrupt,GRU,11,exact,True,4.0,4.0,0.0,0.5,0.5,0.3394495412844037,0.8333333333333334,6,5,2,1,109,37,4,119,6,5.042016806722689,5,1,0.16666666666666666,0.0,0.5
synth_sea_abrupt,GRU,22,exact,True,5.0,5.0,0.0,0.5,0.5,0.7981651376146789,0.5,2,1,2,1,109,87,5,119,2,1.680672268907563,1,1,0.5,0.0,0.5
synth_sea_abrupt,GRU,33,exact,True,0.0,0.0,0.0,0.0,1.0,0.9724770642201835,1.0,1,1,2,0,109,106,0,119,1,0.8403361344537815,1,0,0.0,,0.0
synth_sea_abrupt,TRANSFORMER,11,exact,True,0.0,0.0,0.0,0.0,1.0,0.48623853211009177,1.0,3,3,2,0,109,53,0,119,3,2.5210084033613445,3,0,0.0,,0.0
synth_sea_abrupt,TRANSFORMER,22,exact,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0,,0.0
synth_sea_abrupt,TRANSFORMER,33,exact,True,0.0,0.0,0.0,0.0,1.0,0.9724770642201835,1.0,1,1,2,0,109,106,0,119,1,0.8403361344537815,1,0,0.0,,0.0
synth_sea_abrupt,LSTM,11,exact,True,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0,,0.0
synth_sea_abrupt,LSTM,22,exact,True,0.0,0.0,0.0,0.0,1.0,0.9724770642201835,1.0,1,1,2,0,109,106,0,119,1,0.8403361344537815,1,0,0.0,,0.0
synth_sea_abrupt,LSTM,33,exact,True,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0,,0.0
synth_sea_abrupt,LOGISTIC REGRESSION,11,exact,True,0.0,0.0,0.0,0.0,1.0,0.926605504587156,1.0,1,1,2,0,109,101,0,119,1,0.8403361344537815,1,0,0.0,,0.0
synth_sea_abrupt,LOGISTIC REGRESSION,22,exact,True,0.0,0.0,0.0,0.0,1.0,0.926605504587156,1.0,1,1,2,0,109,101,0,119,1,0.8403361344537815,1,0,0.0,,0.0
synth_sea_abrupt,LOGISTIC REGRESSION,33,exact,True,0.0,0.0,0.0,0.0,1.0,0.926605504587156,1.0,1,1,2,0,109,101,0,119,1,0.8403361344537815,1,0,0.0,,0.0
synth_sea_abrupt,ADWIN,-1,exact,True,0.0,0.0,0.0,0.0,1.0,0.01834862385321101,1.0,2,2,2,0,109,2,0,119,2,1.680672268907563,2,0,0.0,12.0,0.5
synth_sea_abrupt,DDM,-1,exact,True,0.0,0.0,0.0,0.0,1.0,0.009174311926605505,1.0,1,1,2,0,109,1,0,119,1,0.8403361344537815,1,0,0.0,7.0,0.5
synth_sea_abrupt,KSWIN,-1,exact,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0,,0.0
synth_sea_gradual,GRU,11,exact,True,0.0,0.0,0.0,0.0,1.0,0.5412844036697247,1.0,5,5,2,0,109,59,0,119,5,4.201680672268908,5,0,0.0,14.0,1.0
synth_sea_gradual,GRU,22,exact,True,1.5,1.5,0.5,1.0,0.0,0.12844036697247707,0.7142857142857143,7,5,2,2,109,14,3,119,7,5.882352941176471,5,2,0.2857142857142857,0.0,1.0
synth_sea_gradual,GRU,33,exact,True,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0,,0.0
synth_sea_gradual,TRANSFORMER,11,exact,True,0.0,0.0,0.0,0.0,1.0,0.01834862385321101,1.0,2,2,2,0,109,2,0,119,2,1.680672268907563,2,0,0.0,5.0,0.5
