dataset,method,seed,split,truth_quality,evaluation_valid,decision_threshold,precision,recall,f1,roc_auc,pr_auc,accuracy,tn,fp,fn,tp
synth_sea_abrupt,GRU,11,test,exact,True,0.44999999999999996,0.1590909090909091,0.7,0.25925925925925924,0.7477064220183486,0.17860213596067642,0.6638655462184874,72.0,37.0,3.0,7.0
synth_sea_abrupt,GRU,22,test,exact,True,0.3,0.10309278350515463,1.0,0.18691588785046728,0.738532110091743,0.16137771608359844,0.2689075630252101,22.0,87.0,0.0,10.0
synth_sea_abrupt,GRU,33,test,exact,True,0.44999999999999996,0.08620689655172414,1.0,0.15873015873015872,0.4623853211009174,0.09326904316179728,0.1092436974789916,3.0,106.0,0.0,10.0
synth_sea_abrupt,TRANSFORMER,11,test,exact,True,0.39999999999999997,0.11666666666666667,0.7,0.2,0.6247706422018349,0.1339069242915997,0.5294117647058824,56.0,53.0,3.0,7.0
synth_sea_abrupt,TRANSFORMER,22,test,exact,True,0.49999999999999994,0.0,0.0,0.0,0.5403669724770643,0.14694350898363406,0.9159663865546218,109.0,0.0,10.0,0.0
synth_sea_abrupt,TRANSFORMER,33,test,exact,True,0.2,0.08620689655172414,1.0,0.15873015873015872,0.4853211009174312,0.11178439550433811,0.1092436974789916,3.0,106.0,0.0,10.0
synth_sea_abrupt,LSTM,11,test,exact,True,0.44999999999999996,0.08403361344537816,1.0,0.15503875968992248,0.655045871559633,0.12391998825502662,0.08403361344537816,0.0,109.0,0.0,10.0
synth_sea_abrupt,LSTM,22,test,exact,True,0.44999999999999996,0.08620689655172414,1.0,0.15873015873015872,0.536697247706422,0.09133339722980344,0.1092436974789916,3.0,106.0,0.0,10.0
synth_sea_abrupt,LSTM,33,test,exact,True,0.44999999999999996,0.08403361344537816,1.0,0.15503875968992248,0.46513761467889914,0.08516683398728164,0.08403361344537816,0.0,109.0,0.0,10.0
synth_sea_abrupt,LOGISTIC REGRESSION,11,test,exact,True,0.05,0.09009009009009009,1.0,0.1652892561983471,0.5788990825688073,0.12925067423299297,0.15126050420168066,8.0,101.0,0.0,10.0
