dataset,method_key,drift_onset,trigger_batch,pre_drift_accuracy,recovery_threshold,recovery_batch,accuracy_recovery_batches,recovered,method,seed
synth_sea_abrupt,GRU|11,534,530.0,0.952,0.9043999999999999,534.0,0.0,1,GRU,11
synth_sea_abrupt,GRU|11,584,,0.952,0.9043999999999999,,,0,GRU,11
synth_sea_abrupt,GRU|22,534,529.0,0.9640000000000001,0.9158000000000001,534.0,0.0,1,GRU,22
synth_sea_abrupt,GRU|22,584,,0.952,0.9043999999999999,,,0,GRU,22
synth_sea_abrupt,GRU|33,534,,0.952,0.9043999999999999,,,0,GRU,33
synth_sea_abrupt,GRU|33,584,,0.9719999999999999,0.9233999999999998,,,0,GRU,33
synth_sea_abrupt,TRANSFORMER|11,534,,0.9480000000000001,0.9006000000000001,,,0,TRANSFORMER,11
synth_sea_abrupt,TRANSFORMER|11,584,592.0,0.932,0.8854,,,0,TRANSFORMER,11
synth_sea_abrupt,TRANSFORMER|22,534,,0.9640000000000001,0.9158000000000001,,,0,TRANSFORMER,22
synth_sea_abrupt,TRANSFORMER|22,584,,0.9,0.855,,,0,TRANSFORMER,22
synth_sea_abrupt,TRANSFORMER|33,534,,0.952,0.9043999999999999,,,0,TRANSFORMER,33
synth_sea_abrupt,TRANSFORMER|33,584,,0.9719999999999999,0.9233999999999998,,,0,TRANSFORMER,33
synth_sea_abrupt,LSTM|11,534,,0.952,0.9043999999999999,,,0,LSTM,11
synth_sea_abrupt,LSTM|11,584,,0.9719999999999999,0.9233999999999998,,,0,LSTM,11
synth_sea_abrupt,LSTM|22,534,,0.952,0.9043999999999999,,,0,LSTM,22
synth_sea_abrupt,LSTM|22,584,,0.9719999999999999,0.9233999999999998,,,0,LSTM,22
synth_sea_abrupt,LSTM|33,534,,0.952,0.9043999999999999,,,0,LSTM,33
synth_sea_abrupt,LSTM|33,584,,0.9719999999999999,0.9233999999999998,,,0,LSTM,33
synth_sea_abrupt,LOGISTIC REGRESSION|11,534,,0.952,0.9043999999999999,,,0,LOGISTIC REGRESSION,11
synth_sea_abrupt,LOGISTIC REGRESSION|11,584,,0.9719999999999999,0.9233999999999998,,,0,LOGISTIC REGRESSION,11
synth_sea_abrupt,LOGISTIC REGRESSION|22,534,,0.952,0.9043999999999999,,,0,LOGISTIC REGRESSION,22
synth_sea_abrupt,LOGISTIC REGRESSION|22,584,,0.9719999999999999,0.9233999999999998,,,0,LOGISTIC REGRESSION,22
synth_sea_abrupt,LOGISTIC REGRESSION|33,534,,0.952,0.9043999999999999,,,0,LOGISTIC REGRESSION,33
synth_sea_abrupt,LOGISTIC REGRESSION|33,584,,0.9719999999999999,0.9233999999999998,,,0,LOGISTIC REGRESSION,33
synth_sea_abrupt,ADWIN|-1,534,545.0,0.944,0.8967999999999999,546.0,12.0,1,ADWIN,-1
synth_sea_abrupt,ADWIN|-1,584,,0.9480000000000001,0.9006000000000001,,,0,ADWIN,-1
synth_sea_abrupt,DDM|-1,534,537.0,0.9640000000000001,0.9158000000000001,541.0,7.0,1,DDM,-1
synth_sea_abrupt,DDM|-1,584,,0.952,0.9043999999999999,,,0,DDM,-1
synth_sea_abrupt,KSWIN|-1,534,,0.9640000000000001,0.9158000000000001,,,0,KSWIN,-1
synth_sea_abrupt,KSWIN|-1,584,,0.9,0.855,,,0,KSWIN,-1
synth_sea_gradual,GRU|11,534,553.0,0.9399999999999998,0.8929999999999998,554.0,20.0,1,GRU,11
synth_sea_gradual,GRU|11,584,589.0,0.9,0.855,592.0,8.0,1,GRU,11
synth_sea_gradual,GRU|22,534,532.0,0.9399999999999998,0.8929999999999998,534.0,0.0,1,GRU,22
synth_sea_gradual,GRU|22,584,583.0,0.9,0.855,584.0,0.0,1,GRU,22
synth_sea_gradual,GRU|33,534,,0.9399999999999998,0.8929999999999998,,,0,GRU,33
synth_sea_gradual,GRU|33,584,,0.9279999999999999,0.8815999999999999,,,0,GRU,33
synth_sea_gradual,TRANSFORMER|11,534,538.0,0.9399999999999998,0.8929999999999998,539.0,5.0,1,TRANSFORMER,11
synth_sea_gradual,TRANSFORMER|11,584,,0.9,0.855,,,0,TRANSFORMER,11
synth_sea_gradual,TRANSFORMER|22,534,,0.9399999999999998,0.8929999999999998,,,0,TRANSFORMER,22
synth_sea_gradual,TRANSFORMER|22,584,,0.9279999999999999,0.8815999999999999,,,0,TRANSFORMER,22
synth_sea_gradual,TRANSFORMER|33,534,542.0,0.9399999999999998,0.8929999999999998,543.0,9.0,1,TRANSFORMER,33
