dataset,method,truth_quality,decision_threshold,precision,recall,f1,roc_auc,pr_auc,accuracy,tn,fp,fn,tp,mean_lead_time,median_lead_time,std_lead_time,detection_coverage,missed_drift_rate,batch_far,event_far,alert_episodes,false_alert_episodes,drift_events,detected_events,eligible_batches,false_batch_alerts,lead_time_sum,evaluated_batches,total_adaptations,adaptations_per_100_batches,false_adaptations,true_event_related_adaptations,adaptation_precision,accuracy_recovery_batches,recovery_coverage,evaluation_valid
elec2,ADWIN,unavailable,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
elec2,DDM,unavailable,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
elec2,GRU,unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
elec2,KSWIN,unavailable,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
elec2,LOGISTIC REGRESSION,unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
elec2,LSTM,unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
elec2,TRANSFORMER,unavailable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
insects_abrupt_balanced,ADWIN,published_instance_positions_mapped_to_batches,0.5,0.125,0.1,0.1111111111111111,,,0.9492063492063492,298.0,7.0,9.0,1.0,4.0,4.0,0.0,0.5,0.5,0.022950819672131147,0.875,8.0,7.0,2.0,1.0,305.0,7.0,4.0,315.0,8.0,2.5396825396825395,7.0,1.0,0.125,15.5,1.0,True
insects_abrupt_balanced,DDM,published_instance_positions_mapped_to_batches,0.5,0.3333333333333333,0.1,0.15384615384615385,,,0.9650793650793651,303.0,2.0,9.0,1.0,2.0,2.0,0.0,0.5,0.5,0.006557377049180328,0.6666666666666666,3.0,2.0,2.0,1.0,305.0,2.0,2.0,315.0,3.0,0.9523809523809523,2.0,1.0,0.3333333333333333,77.5,1.0,True
insects_abrupt_balanced,GRU,published_instance_positions_mapped_to_batches,0.44999999999999996,0.031342840166369575,0.26666666666666666,0.053830097991598734,0.5151912568306011,0.0468307119649868,0.7523809523809524,234.33333333333334,70.66666666666667,7.333333333333333,2.6666666666666665,2.0,2.0,0.0,0.5,0.5,0.23169398907103825,0.9303451178451178,15.0,14.0,2.0,1.0,305.0,70.66666666666667,2.0,315.0,15.0,4.761904761904762,14.0,1.0,0.06965488215488215,2.1666666666666665,0.6666666666666666,True
insects_abrupt_balanced,KSWIN,published_instance_positions_mapped_to_batches,0.5,0.0,0.0,0.0,,,0.9428571428571428,297.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02622950819672131,1.0,8.0,8.0,2.0,0.0,305.0,8.0,0.0,315.0,8.0,2.5396825396825395,8.0,0.0,0.0,11.0,0.5,True
insects_abrupt_balanced,LOGISTIC REGRESSION,published_instance_positions_mapped_to_batches,0.5499999999999999,0.0,0.0,0.0,0.661967213114754,0.047871572989270306,0.9015873015873016,284.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06885245901639345,1.0,17.0,17.0,2.0,0.0,305.0,21.0,0.0,315.0,17.0,5.396825396825396,17.0,0.0,0.0,6.0,0.5,True
insects_abrupt_balanced,LSTM,published_instance_positions_mapped_to_batches,0.4666666666666666,0.0338829395433169,0.26666666666666666,0.05929424111242293,0.6429508196721312,0.07460622661782638,0.8074074074074075,251.66666666666666,53.333333333333336,7.333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.0,0.16666666666666666,0.8333333333333334,0.17486338797814208,0.9761904761904763,10.666666666666666,10.333333333333334,2.0,0.3333333333333333,305.0,53.333333333333336,1.3333333333333333,315.0,10.666666666666666,3.386243386243386,10.333333333333334,0.3333333333333333,0.023809523809523808,14.5,0.6666666666666666,True
insects_abrupt_balanced,TRANSFORMER,published_instance_positions_mapped_to_batches,0.2833333333333333,0.0,0.0,0.0,0.32,0.025130595937604125,0.9661375661375661,304.3333333333333,0.6666666666666666,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.002185792349726776,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,0.0,305.0,0.6666666666666666,0.0,315.0,0.3333333333333333,0.10582010582010581,0.3333333333333333,0.0,0.0,,0.0,True
synth_sea_abrupt,ADWIN,exact,0.5,0.0,0.0,0.0,,,0.8991596638655462,107.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01834862385321101,1.0,2.0,2.0,2.0,0.0,109.0,2.0,0.0,119.0,2.0,1.680672268907563,2.0,0.0,0.0,12.0,0.5,True
synth_sea_abrupt,DDM,exact,0.5,0.0,0.0,0.0,,,0.907563025210084,108.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009174311926605505,1.0,1.0,1.0,2.0,0.0,109.0,1.0,0.0,119.0,1.0,0.8403361344537815,1.0,0.0,0.0,7.0,0.5,True
synth_sea_abrupt,GRU,exact,0.39999999999999997,0.11613019638259596,0.9,0.2016351019466284,0.6495412844036696,0.14441629840202405,0.3473389355742296,32.333333333333336,76.66666666666667,1.0,9.0,3.0,3.0,0.0,0.3333333333333333,0.6666666666666666,0.7033639143730888,0.7777777777777778,3.0,2.3333333333333335,2.0,0.6666666666666666,109.0,76.66666666666667,3.0,119.0,3.0,2.5210084033613445,2.3333333333333335,0.6666666666666666,0.2222222222222222,0.0,0.3333333333333333,True
synth_sea_abrupt,KSWIN,exact,0.5,0.0,0.0,0.0,,,0.9159663865546218,109.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,109.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
synth_sea_abrupt,LOGISTIC REGRESSION,exact,0.05000000000000001,0.0900900900900901,1.0,0.1652892561983471,0.5788990825688073,0.12925067423299297,0.15126050420168066,8.0,101.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.926605504587156,1.0,1.0,1.0,2.0,0.0,109.0,101.0,0.0,119.0,1.0,0.8403361344537815,1.0,0.0,0.0,,0.0,True
synth_sea_abrupt,LSTM,exact,0.44999999999999996,0.08475804114749348,1.0,0.1562692260366679,0.5522935779816515,0.10014007315737057,0.09243697478991597,1.0,108.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.9908256880733944,1.0,1.0,1.0,2.0,0.0,109.0,108.0,0.0,119.0,1.0,0.8403361344537815,1.0,0.0,0.0,,0.0,True
synth_sea_abrupt,TRANSFORMER,exact,0.36666666666666664,0.06762452107279694,0.5666666666666667,0.11957671957671957,0.5501529051987768,0.1308782762598573,0.5182072829131653,56.0,53.0,4.333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,1.0,0.48623853211009177,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,0.0,109.0,53.0,0.0,119.0,1.3333333333333333,1.1204481792717087,1.3333333333333333,0.0,0.0,,0.0,True
synth_sea_gradual,ADWIN,exact,0.5,0.0,0.0,0.0,,,0.8991596638655462,107.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01834862385321101,1.0,2.0,2.0,2.0,0.0,109.0,2.0,0.0,119.0,2.0,1.680672268907563,2.0,0.0,0.0,33.0,0.5,True
synth_sea_gradual,DDM,exact,0.5,0.0,0.0,0.0,,,0.907563025210084,108.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.009174311926605505,1.0,1.0,1.0,2.0,0.0,109.0,1.0,0.0,119.0,1.0,0.8403361344537815,1.0,0.0,0.0,10.0,0.5,True
synth_sea_gradual,GRU,exact,0.4666666666666666,0.09571953781512606,0.5666666666666667,0.14800668289040383,0.4877675840978593,0.12033611158425866,0.453781512605042,48.333333333333336,60.666666666666664,4.333333333333333,5.666666666666667,0.5,0.5,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5565749235474006,0.9047619047619048,4.333333333333333,3.6666666666666665,2.0,0.6666666666666666,109.0,60.666666666666664,1.0,119.0,4.333333333333333,3.641456582633053,3.6666666666666665,0.6666666666666666,0.09523809523809523,7.0,0.6666666666666666,True
synth_sea_gradual,KSWIN,exact,0.5,0.0,0.0,0.0,,,0.9159663865546218,109.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,109.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,,0.0,True
synth_sea_gradual,LOGISTIC REGRESSION,exact,0.15,0.08403361344537814,1.0,0.15503875968992248,0.4623853211009174,0.0956084827662429,0.08403361344537814,0.0,109.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,109.0,109.0,0.0,119.0,1.0,0.8403361344537815,1.0,0.0,0.0,,0.0,True
